INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
1.ini;com.uj.atm.common.Account;1273;OK;23;2,09;1;21;11;11;6;6;5;0;0;0;0;0;0;0
1_10.ini;com.uj.atm.common.Account;801;OK;0;0;1;21;7;11;5;0;0;6;0;0;5;0;0;0
1_11.ini;com.uj.atm.common.Account;783;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_12.ini;com.uj.atm.common.Account;792;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_13.ini;com.uj.atm.common.Account;773;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_14.ini;com.uj.atm.common.Account;767;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_15.ini;com.uj.atm.common.Account;774;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_16.ini;com.uj.atm.common.Account;807;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_17.ini;com.uj.atm.common.Account;766;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_18.ini;com.uj.atm.common.Account;796;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_19.ini;com.uj.atm.common.Account;790;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_2.ini;com.uj.atm.common.Account;22878;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_20.ini;com.uj.atm.common.Account;784;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_21.ini;com.uj.atm.common.Account;779;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_22.ini;com.uj.atm.common.Account;774;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_23.ini;com.uj.atm.common.Account;733;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_24.ini;com.uj.atm.common.Account;786;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_25.ini;com.uj.atm.common.Account;1424;OK;0;0;1;21;7;11;5;0;0;6;0;0;5;0;0;0
1_3.ini;com.uj.atm.common.Account;750;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_4.ini;com.uj.atm.common.Account;795;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_5.ini;com.uj.atm.common.Account;408;OK;0;0;1;21;0;11;0;0;0;11;0;0;0;0;0;0
1_6.ini;com.uj.atm.common.Account;777;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_7.ini;com.uj.atm.common.Account;799;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_8.ini;com.uj.atm.common.Account;747;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
1_9.ini;com.uj.atm.common.Account;745;OK;0;0;1;21;11;11;11;0;0;0;0;0;11;0;0;0
