Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
CONDITIONALS_BOUNDARY;0;1;23.0;0;16.0;0;1;0;0;0;0;0.39473684210526316;0.41025641025641024;unknown;100;0;
RETURN_VALS;0;2;165.0;0;108.0;0;2;0;0;0;0;0.39114391143911437;0.3956043956043956;unknown;100;0;
MATH;0;1;14.0;0;15.0;0;1;0;0;0;0;0.5;0.5172413793103449;unknown;100;0;
CONDITIONALS_BOUNDARY;0;2;24.0;0;17.0;1;0;0;0;0;0;0.41025641025641024;0.4146341463414634;org.junit.Assert;100;1;
RETURN_VALS;0;5;170.0;0;108.0;0;0;0;0;0;0;0.3956043956043956;0.38848920863309355;org.junit.Assert;100;5;
NEGATE_CONDITIONALS;0;11;110.0;0;33.0;0;0;0;0;0;0;0.25;0.23076923076923078;org.junit.Assert;100;11;
NEGATE_CONDITIONALS;0;1;110.0;0;34.0;0;1;0;0;0;0;0.23076923076923078;0.2361111111111111;org.junit.Assume;100;0;
CONDITIONALS_BOUNDARY;0;1;25.0;0;17.0;0;0;0;0;0;0;0.4146341463414634;0.40476190476190477;org.hamcrest.BaseDescription;100;1;
INCREMENTS;0;1;22.0;0;15.0;0;0;0;0;0;0;0.4166666666666667;0.40540540540540543;org.hamcrest.BaseDescription;100;1;
NEGATE_CONDITIONALS;0;2;112.0;0;34.0;0;0;0;0;0;0;0.2361111111111111;0.2328767123287671;org.hamcrest.BaseDescription;100;2;
RETURN_VALS;0;2;172.0;0;108.0;0;0;0;0;0;0;0.38848920863309355;0.38571428571428573;org.hamcrest.StringDescription;100;2;
RETURN_VALS;0;1;173.0;0;108.0;0;0;0;0;0;0;0.38571428571428573;0.38434163701067614;org.hamcrest.BaseMatcher;100;1;
RETURN_VALS;0;5;173.0;0;113.0;0;5;0;0;0;0;0.38434163701067614;0.3951048951048951;org.hamcrest.core.AnyOf;100;0;
